Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00232782250844819,0.00484999962416345,0.00237706350870009,0,0,0,0.0656164141863128,4.24810438500181E-05,-5.90395548297961E-14,-3.77227541671978E-22,2.15170631644458E-05,1.97807239609356E-09,5.99039456073992E-05,0,0,0,0,0,0,package://spider/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/base_link.STL,,Base up-1;Base Down-1;Servo SG90-4;Servo SG90-1;Servo SG90-2;Servo SG90-3,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
f1,-0.0246133393231356,-0.00282434722486308,0.00353398897050531,0,0,0,0.011831113051677,1.49447992938143E-06,5.21588505424863E-08,-6.80646972144656E-09,1.52715873576735E-06,-3.46004410127938E-08,1.03946591481982E-06,0,0,0,0,0,0,package://spider/meshes/f1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/f1.STL,,coxa left-1;Servo SG90-7,Coordinate System4,Axis1,f1_joint,revolute,-0.033172,0.040513,0.0037238,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
f11,-0.0240452744682379,-0.0029596957982225,0.0109553755380435,0,0,0,0.00732061922605986,1.94820373448345E-06,1.36488574669775E-09,6.31796677429088E-07,1.8515397312667E-06,-6.21861727607104E-10,3.04703936359769E-06,0,0,0,0,0,0,package://spider/meshes/f11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/f11.STL,,Fumer-2,Coordinate System5,Axis2,f11_joint,revolute,-0.0275,-0.0016,0.0084,0,0,0,f1,0,-1,0,0,0,0,0,,,,,,,,
f111,-0.00845121500187329,0.016797144998031,-0.0100072503160727,0,0,0,0.013123891605465,3.24375574553877E-06,1.19131158820671E-08,-1.72857464785536E-06,4.23404129801267E-06,6.19596564589854E-08,1.95892274821536E-06,0,0,0,0,0,0,package://spider/meshes/f111.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/f111.STL,,tibia right-1;Servo SG90-8,Coordinate System6,Axis3,f111_joint,revolute,-0.05005,-0.0194,0.022803,0,0,0,f11,0,1,0,0,0,0,0,,,,,,,,
f2,0.0246177214175433,0.00185109539523642,-0.015044994033357,0,0,0,0.0118214531865819,1.49297422129761E-06,-5.22295366915831E-08,6.83752432391061E-09,1.52680921657239E-06,-3.51069506250805E-08,1.03828147386784E-06,0,0,0,0,0,0,package://spider/meshes/f2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/f2.STL,,coxa right-1;Servo SG90-5,Coordinate System11,Axis4,f2_joint,revolute,0.037828,0.040513,0.022299,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
f22,0.0233452429516554,0.0170403042017775,0.0123772011765128,0,0,0,0.00732061922605988,2.02777007300971E-06,-1.32514974615631E-09,-6.93012674512365E-07,1.85153973126671E-06,-7.02569042915671E-10,2.96747302507143E-06,0,0,0,0,0,0,package://spider/meshes/f22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/f22.STL,,Fumer-1,Coordinate System12,Axis5,f22_joint,revolute,0.0275,-0.0147,-0.010175,0,0,0,f2,0,-1,0,0,0,0,0,,,,,,,,
f222,0.00862678164913092,0.0173971449980311,-0.00985630417828349,0,0,0,0.013123891605465,3.18225551897369E-06,-1.30065051142372E-08,1.75020157088917E-06,4.2340412980127E-06,6.1739353405774E-08,2.02042297478046E-06,0,0,0,0,0,0,package://spider/meshes/f222.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/f222.STL,,tibia Left-1;Servo SG90-6,Coordinate System13,Axis6,f222_joint,revolute,0.048593,0,0.025763,0,0,0,f22,0,-1,0,0,0,0,0,,,,,,,,
b1,-0.0246177214175432,-0.00185109539523642,0.0049550059666431,0,0,0,0.0118214531865818,1.49297422129762E-06,-5.22295366915829E-08,-6.83752432391097E-09,1.52680921657239E-06,3.51069506250803E-08,1.03828147386784E-06,0,0,0,0,0,0,package://spider/meshes/b1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/b1.STL,,coxa right-3;Servo SG90-9,Coordinate System8,Axis7,b1_joint,revolute,-0.033172,-0.030487,0.0022988,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
b11,-0.0263934021870849,0.0160596957982225,0.00125849053491572,0,0,0,0.00732061922605988,1.6641465824602E-06,-1.49817289461831E-09,7.96646511760662E-08,1.85153973126671E-06,7.14358987969738E-11,3.33109651562095E-06,0,0,0,0,0,0,package://spider/meshes/b11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/b11.STL,,Fumer-3,Coordinate System9,Axis8,b11_joint,revolute,-0.0275,-0.0184,0.009825,0,0,0,b1,0,1,0,0,0,0,0,,,,,,,,
b111,-0.00497825273160135,0.0157028550019689,-0.0121154898133305,0,0,0,0.013123891605465,4.13150135521813E-06,7.64559002804643E-09,-1.02920997669417E-06,4.23404129801269E-06,-6.26295608109527E-08,1.07117713853602E-06,0,0,0,0,0,0,package://spider/meshes/b111.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://spider/meshes/b111.STL,,Servo SG90-10;tibia Left-2,Coordinate System10,Axis9,b111_joint,revolute,-0.054938,0,0.0026195,0,0,0,b11,0,1,0,0,0,0,0,,,,,,,,
b2,0.0246133393231357,0.00282434722486308,-0.0150410110294942,0,0,0,0.011831113051677,1.49447992938151E-06,5.21588505424859E-08,6.80646972144102E-09,1.52715873576743E-06,3.46004410127955E-08,1.03946591481982E-06,0,0,0,0,0,0,package://spider/meshes/b2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/b2.STL,,coxa left-3;Servo SG90-11,Coordinate System14,Axis10,b2_joint,revolute,0.037828,-0.030487,0.022299,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
b22,0.0235272856408435,0.0160596957982225,-0.01202756450034,0,0,0,0.00732061922605988,2.00730506331622E-06,1.33548306433477E-09,6.78687498330479E-07,1.85153973126671E-06,-6.8272256054564E-10,2.98793803476492E-06,0,0,0,0,0,0,package://spider/meshes/b22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider/meshes/b22.STL,,Fumer-4,Coordinate System15,Axis11,b22_joint,revolute,0.0275,-0.0115,-0.010175,0,0,0,b2,0,1,0,0,0,0,0,,,,,,,,
b222,0.00694005205462229,0.0157028550019689,-0.0111087250112474,0,0,0,0.013123891605465,3.70498490062773E-06,2.96862359814366E-09,1.4773745435462E-06,4.23404129801268E-06,-6.30246668572515E-08,1.49769359312641E-06,0,0,0,0,0,0,package://spider/meshes/b222.STL,0.00784313725490196,0.23921568627451,0.823529411764706,1,0,0,0,0,0,0,package://spider/meshes/b222.STL,,Servo SG90-12;tibia right-2,Coordinate System16,Axis12,b222_joint,revolute,0.048972,0,-0.025035,0,0,0,b22,0,1,0,0,0,0,0,,,,,,,,
